url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,asset,query,timestamp_utc,text_for_sentiment,finbert_label,finbert_confidence,sentiment_score
https://fortune.com/article/price-of-ethereum-04-29-2026/,,"Current price of Ethereum for April 29 , 2026",20260429T141500Z,https://fortune.com/img-assets/wp-content/uploads/2026/04/Price-of-Ethereum-April-29.jpg,fortune.com,English,United States,ETH,ethereum,2026-04-29 14:15:00+00:00,"Current price of Ethereum for April 29 , 2026",neutral,0.9514333605766296,0
https://finance.yahoo.com/personal-finance/investing/article/bitcoin-and-ethereum-prices-today-tuesday-april-28-2026-values-falling-ahead-of-fed-meeting-114535390.html,,"Bitcoin and ethereum prices today , Tuesday , April 28 , 2026 : Values falling ahead of Fed meeting",20260428T121500Z,https://s.yimg.com/uu/api/res/1.2/R4fhNy.vnr_QIatr9RUOpQ--~B/aD00MDU7dz02MTI7YXBwaWQ9eXRhY2h5b24-/https://d29szjachogqwa.cloudfront.net/images/user-uploaded/ethereum_%20_bitcoin_2_2928.jpg,finance.yahoo.com,English,United States,ETH,ethereum,2026-04-28 12:15:00+00:00,"Bitcoin and ethereum prices today , Tuesday , April 28 , 2026 : Values falling ahead of Fed meeting",negative,0.9681629538536072,-1
https://finance.yahoo.com/markets/crypto/articles/bitmine-purchase-10-000-eth-180300758.html,,"BitMine To Purchase 10 , 000 ETH From Ethereum Foundation",20260426T010000Z,https://s.yimg.com/os/en/cryptoprowl_304/5827aa6b551e40ddf5c68d4b2b1e3d2a,finance.yahoo.com,English,United States,ETH,ethereum,2026-04-26 01:00:00+00:00,"BitMine To Purchase 10 , 000 ETH From Ethereum Foundation",neutral,0.8658912181854248,0
https://fortune.com/article/price-of-ethereum-04-06-2026/,,"Current price of Ethereum for April 6 , 2026",20260406T134500Z,https://fortune.com/img-assets/wp-content/uploads/2026/04/Price-of-Ethereum-April-6.jpg,fortune.com,English,United States,ETH,ethereum,2026-04-06 13:45:00+00:00,"Current price of Ethereum for April 6 , 2026",neutral,0.9523053169250488,0
https://finance.yahoo.com/personal-finance/investing/article/bitcoin-and-ethereum-price-today-tuesday-april-14-2026-prices-rebound-despite-us-blockade-in-the-middle-east-112122040.html,,"Bitcoin and ethereum price today , Tuesday , April 14 , 2026 : Prices rebound despite U . S . blockade in the Middle East",20260414T121500Z,https://s.yimg.com/uu/api/res/1.2/R4fhNy.vnr_QIatr9RUOpQ--~B/aD00MDU7dz02MTI7YXBwaWQ9eXRhY2h5b24-/https://d29szjachogqwa.cloudfront.net/images/user-uploaded/ethereum_%20_bitcoin_2_2928.jpg,finance.yahoo.com,English,United States,ETH,ethereum,2026-04-14 12:15:00+00:00,"Bitcoin and ethereum price today , Tuesday , April 14 , 2026 : Prices rebound despite U . S . blockade in the Middle East",positive,0.9403808116912842,1
https://cointelegraph.com/news/key-ethereum-developer-josh-stark-leaves-the-ethereum-foundation,,Josh Stark Announces Departure From The Ethereum Foundation,20260416T223000Z,"https://images.cointelegraph.com/cdn-cgi/image/f=auto,onerror=redirect,w=1200/https://s3.cointelegraph.com/uploads/2026-02/019c732d-8ca1-7982-9fe6-0cc5e16b571a.jpg",cointelegraph.com,English,China,ETH,ethereum,2026-04-16 22:30:00+00:00,Josh Stark Announces Departure From The Ethereum Foundation,negative,0.49927499890327454,-1
https://www.benzinga.com/Opinion/26/04/52111078/tom-lees-235m-ethereum-purchase-could-signal-the-end-of-the-crypto-winter,,Tom Lee $235M Ethereum Purchase Could Signal The End Of The Crypto Winter - BitMine Immersion ( NYSE : BMN,20260429T094500Z,,benzinga.com,English,United States,ETH,ethereum,2026-04-29 09:45:00+00:00,Tom Lee $235M Ethereum Purchase Could Signal The End Of The Crypto Winter - BitMine Immersion ( NYSE : BMN,neutral,0.8669084906578064,0
https://finance.yahoo.com/markets/crypto/articles/ethereum-price-250-000-etherealize-114715980.html,,"Ethereum Price To $250 , 000 ? Etherealize Explains Why They Believe Their Bullish Outlook Is  Conservative  ",20260423T203000Z,https://s.yimg.com/ny/api/res/1.2/cZqk_sTNED9NArkUe2L9pg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/ccn_928/ce3a1c487bc3cdd37b2ca8441935fbff,finance.yahoo.com,English,United States,ETH,ethereum,2026-04-23 20:30:00+00:00,"Ethereum Price To $250 , 000 ? Etherealize Explains Why They Believe Their Bullish Outlook Is  Conservative  ",neutral,0.9033920764923096,0
https://www.fool.com/investing/2026/04/27/solana-just-processed-253-billion-transactions-in/?source=iedfolrf0000001,,Solana Just Processed 25 . 3 Billion Transactions in a Quarter -- How Much Upside Is Left ? ,20260427T203000Z,https://g.foolcdn.com/editorial/images/866260/a-block-labeled-crypto-on-a-digital-screen.jpg,fool.com,English,United States,ETH,ethereum,2026-04-27 20:30:00+00:00,Solana Just Processed 25 . 3 Billion Transactions in a Quarter -- How Much Upside Is Left ? ,neutral,0.6808621287345886,0
https://finance.yahoo.com/markets/crypto/articles/forget-ethereum-buy-cryptocurrency-instead-025000681.html,,Should You Forget Ethereum and Buy This Cryptocurrency Instead ? ,20260405T084500Z,https://s.yimg.com/ny/api/res/1.2/m9OqYWEIDD0LTOfcg9Ca8g--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDE-/https://media.zenfs.com/en/motleyfool.com/ceba654e65ac00c3114f37955bb82063,finance.yahoo.com,English,United States,ETH,ethereum,2026-04-05 08:45:00+00:00,Should You Forget Ethereum and Buy This Cryptocurrency Instead ? ,neutral,0.9296265840530396,0
